1333 980 924 921 896 898 896 899 912 891 902 895 911 911 906 905 915 904 901 903 904 905 908 907 921 903 903 898 900 896 901 927 905 929 903 906 906 906 898 904 894 898 896 904 906 900 921 901 910 907 904 906 909 896 904 900 904 923 909 897 902 902 902 902 910 899 910 907 904 906 895 904 899 932 916 908 905 904 901 903 899 913 906 912 903 897 902 904 906 900 927 904 905 922 904 907 906 911 905 908 907 908 899 911 900 908 902 907 910 904 933 915 911 903 749 757 749 750 745 748 774 747 754 751 755 754 753 753 746 752 749 750 749 750 750 751 759 744 749 750 748 753 750 755 742 745 749 749 752 751 
1572 1404 1400 1404 1390 1414 1396 1383 1393 1402 1404 1390 1392 1402 1812 1902 1889 1951 1813 1995 1399 1386 1399 1401 1400 1382 1368 1376 1380 1384 1373 1390 1380 1398 1389 1383 1388 1387 1397 1381 1388 1410 1391 1410 1389 1396 1405 1389 1392 1398 1393 1401 1392 1396 1392 1396 1384 1395 1389 1377 1383 1383 1386 1382 1405 1382 1404 1395 1388 1402 1393 1387 1389 1391 1387 1394 1388 1385 1379 1396 1392 1380 1400 1388 1404 1392 1391 1394 1370 1379 1372 1400 1374 1399 1375 1372 1365 1370 1378 1372 1376 1383 1382 1387 1387 1414 1382 1391 1385 1388 1391 1410 1387 1384 1388 1391 1384 1367 1386 1373 1396 1389 1367 1390 1378 1395 1387 1386 1388 1397 1372 1392 1386 1410 1384 1398 1383 1385 1388 1393 1392 1386 1399 1386 1395 1370 1385 1383 1379 1396 
2147 2038 2027 2018 2004 2032 2031 2020 2026 2012 2015 2021 2018 2025 2019 2032 2029 2014 2023 2010 2046 2000 2024 2022 2024 2008 2032 2038 2025 2021 2012 2026 2014 2023 2016 2029 2023 2029 2031 2040 2035 2030 2022 2030 2021 2026 2019 2017 2024 2024 2025 2021 2021 2021 2016 2012 2019 2013 2011 2012 2021 2012 2027 2011 2021 2027 2016 2036 2019 2012 2032 2026 2014 2051 2014 2019 2021 2023 2006 2021 2016 2028 2028 2036 2019 2013 2017 2021 2020 2023 2019 2021 2015 2027 2047 2021 2018 2019 2018 2016 2021 2016 2044 2009 2045 2007 2018 2027 2038 2018 2040 2016 2028 2028 2024 2016 2018 2019 2011 2017 2020 2018 2007 2020 2011 2021 2027 2020 2014 2019 2014 2021 2015 2020 2013 2022 2012 2028 2032 2005 2012 2023 2018 2031 2015 2011 2036 2015 2048 2012 
2906 2619 2597 2573 2556 2578 2565 2569 2564 2568 2584 2577 2578 2584 2579 2562 2573 2563 2584 2573 2585 2568 2574 2577 2564 2562 2609 2554 2568 2577 2590 2560 2572 2651 2685 2569 2582 2567 2628 2579 2569 2571 2553 2576 2573 2708 2580 2637 2625 2620 2725 2580 2568 2716 2691 2630 2634 2568 2626 2740 2631 2612 2566 2559 2568 2619 2584 2574 2575 2569 2629 2568 2562 2632 2634 2620 2614 2579 2617 2568 2617 2781 2573 2566 2583 2620 2689 2562 2578 2556 2604 2582 2759 2688 3570 3423 3377 3354 3229 3570 2612 3244 3535 3401 3216 3466 3309 3314 2577 2570 2573 3580 3349 3558 2594 2568 2548 2578 2569 2577 2567 2566 2571 2576 2550 2628 2564 2580 2566 2577 2564 2564 2564 2564 2552 2580 2554 2573 2561 2590 2557 2557 2572 2582 2577 2565 2559 2558 2555 2604 
3589 3250 3196 3214 3191 3203 3194 3208 3222 3200 3195 3200 3195 3215 3196 3201 3195 3196 3198 3206 3206 3200 3200 3197 3190 3212 3189 3216 3208 3204 3193 3193 3205 3192 3211 3189 3198 3212 3192 3190 3179 3215 3178 3214 3210 3203 3191 3203 3188 3196 3199 3191 3205 3197 3195 3181 3195 3201 3206 3185 3199 3185 3186 3206 3199 3199 3180 3199 3210 3207 3195 3190 3188 3191 3199 3198 3204 3205 3207 3197 3208 3196 3206 3202 3192 3202 3192 3195 3192 3201 3195 3212 3190 3214 3189 3217 3191 3185 3206 3191 3208 3188 3207 3192 3200 3192 3187 3202 3197 3193 3185 3213 3216 3201 3204 3211 3215 3196 3204 3199 3210 3190 3183 3210 3199 3205 3202 3205 3204 3197 3190 3200 3188 3198 3196 3203 3196 3179 3188 3181 3196 3172 3204 3189 3193 3961 4097 4283 3204 3723 
5144 4771 4752 4734 4706 4708 4741 4733 4758 4743 4723 4740 4727 4734 4739 4732 4726 4746 4733 4720 4743 4711 4722 4751 4715 4744 4734 4755 4737 4731 4705 4731 4725 4728 4752 4741 4736 4750 4750 4714 4748 4735 4743 4734 4743 4715 4739 4728 4702 4731 4736 4745 4737 4735 4734 4773 4724 4734 4724 4731 4748 4741 4711 4726 4725 4736 4740 4721 4747 4728 4724 4742 4744 4732 4731 4739 4739 4759 4715 4729 4742 4727 4706 4765 4726 4722 4733 4726 4708 4739 4744 4759 4744 4743 4738 4745 4722 4720 4752 4725 4745 4734 4729 4733 4730 4716 4749 4732 4738 4736 4742 4728 4782 4727 4723 4743 4720 4723 4730 4707 4715 4739 4715 4721 4723 4718 4749 4732 4755 4761 4724 4748 4760 4733 4742 4739 4725 4736 4733 4733 4725 4750 4714 4725 4723 4709 4728 4739 4709 4765 
