189 58 48 49 50 50 50 51 52 49 50 51 49 50 51 51 49 49 51 51 50 50 53 51 50 50 49 50 51 53 50 50 49 50 50 51 51 51 50 51 51 49 51 49 49 50 50 50 52 50 49 49 50 48 50 51 50 51 50 50 52 49 49 49 52 49 51 51 49 51 52 50 49 50 51 49 50 50 51 50 50 52 51 50 48 50 49 51 49 50 48 50 50 49 50 51 50 51 51 50 51 48 50 52 51 51 51 50 49 50 52 51 49 51 43 40 43 42 43 43 43 42 41 42 42 41 42 41 43 41 43 40 43 42 41 40 41 42 43 40 42 42 42 42 44 41 42 44 43 42 
229 132 76 71 70 70 70 70 69 69 67 66 72 71 112 87 114 134 132 154 68 82 67 68 70 70 70 71 67 67 68 67 66 67 68 69 68 83 66 66 65 69 69 69 69 66 67 66 71 66 67 66 71 67 69 67 66 69 65 66 70 69 66 69 68 85 65 70 73 71 65 69 67 68 66 69 71 67 69 68 73 70 65 74 72 70 71 75 73 69 66 66 66 65 68 76 69 67 67 67 64 69 67 66 69 70 67 65 68 66 67 67 66 65 67 69 67 70 71 68 69 69 66 68 65 68 70 70 70 70 66 66 66 64 66 66 70 69 66 66 67 66 65 67 67 68 66 67 67 67 
270 130 104 96 90 90 90 92 102 91 91 91 92 91 92 104 96 90 92 91 91 91 96 94 92 96 91 90 91 92 103 92 95 92 89 91 91 89 90 90 90 90 102 90 91 89 93 98 94 91 98 101 91 95 91 92 91 92 91 90 91 90 92 90 92 91 94 93 91 92 89 91 91 93 96 91 90 90 89 97 99 89 91 91 92 97 90 92 93 106 91 96 91 91 98 92 89 90 91 93 97 94 89 90 92 99 91 91 90 90 90 90 92 91 92 96 92 90 91 90 89 92 91 91 98 92 90 91 91 90 91 92 90 91 91 90 91 90 90 91 92 100 92 91 92 94 91 93 91 94 
381 160 125 127 127 134 126 126 118 119 119 126 120 127 128 120 119 119 126 127 125 124 125 127 126 128 125 126 126 125 126 126 125 126 127 173 128 118 126 125 132 118 118 130 125 175 119 118 119 126 119 400 119 217 124 163 237 125 119 119 119 174 120 119 119 117 118 124 119 173 166 123 119 120 126 125 170 127 125 125 118 117 172 126 131 126 131 181 118 126 118 124 127 120 139 285 292 196 203 257 191 152 211 151 143 224 231 228 127 125 126 188 188 221 164 124 126 124 124 126 126 125 119 125 125 125 119 126 127 131 124 126 120 127 124 119 121 119 119 119 119 120 119 117 118 125 119 118 117 119 
377 171 148 154 144 144 142 144 145 142 142 144 143 142 144 143 155 144 153 144 142 143 153 143 142 149 153 147 143 142 152 147 142 144 144 142 143 143 143 144 142 142 153 144 143 142 143 152 144 142 142 143 143 144 143 144 143 143 143 142 142 143 145 142 142 143 143 145 146 143 155 144 142 143 143 143 144 152 143 142 143 145 154 143 143 144 144 145 143 144 142 142 142 142 143 143 144 143 141 149 143 142 153 143 143 143 144 143 142 144 143 142 142 144 143 143 145 147 142 143 143 142 143 143 142 143 141 143 144 143 143 143 143 145 143 144 143 142 144 143 154 144 143 143 142 184 188 268 169 143 
407 251 212 204 203 203 204 201 206 202 204 211 205 205 203 203 206 205 201 202 209 204 205 204 206 203 205 204 203 201 201 203 202 204 204 202 201 204 220 202 219 201 202 204 203 202 203 204 215 203 201 205 201 202 203 203 202 204 203 201 202 203 200 204 200 205 219 202 203 203 204 203 202 203 203 202 202 204 202 200 202 209 204 203 203 204 202 201 200 203 201 202 203 203 203 203 202 202 205 202 201 204 203 205 202 204 204 202 203 203 202 201 202 201 203 203 211 204 202 203 201 204 201 203 202 202 203 203 202 201 203 202 204 203 202 203 204 205 204 203 203 202 203 202 203 202 203 203 203 203 
